GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
14740,310M100US14740,"Bremerton-Silverdale, WA Metro Area",95758,65215,30669,13865,12758,5186,1924,813,30543,24113,5312,717,241,148,0,12
14860,310M100US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",331782,230561,86248,53452,55269,25104,7587,2901,101221,85151,12752,2190,691,307,111,19
15180,310M100US15180,"Brownsville-Harlingen, TX Metro Area",113547,91493,27812,18757,20114,13639,6089,5082,22054,19119,2527,191,206,11,0,0
15260,310M100US15260,"Brunswick, GA Metro Area",42933,29107,14121,6510,5122,2015,1092,247,13826,11837,1561,284,109,22,13,0
15380,310M100US15380,"Buffalo-Niagara Falls, NY Metro Area",466232,287669,131998,64632,57945,23076,6630,3388,178563,150365,23537,3178,918,288,205,72
15500,310M100US15500,"Burlington, NC Metro Area",59000,39987,18338,10261,7067,2904,1002,415,19013,15719,2794,387,90,13,10,0
15540,310M100US15540,"Burlington-South Burlington, VT Metro Area",83140,51907,23349,12508,10685,3845,1151,369,31233,22772,6822,1046,449,83,29,32
15940,310M100US15940,"Canton-Massillon, OH Metro Area",162409,109045,51078,25021,19668,8946,2956,1376,53364,46084,6136,802,301,2,39,0
15980,310M100US15980,"Cape Coral-Fort Myers, FL Metro Area",245751,162925,92965,29291,23522,10994,4164,1989,82826,66107,14601,1194,534,233,137,20
16020,310M100US16020,"Cape Girardeau-Jackson, MO-IL Metro Area",37747,25245,11799,6292,4619,1764,541,230,12502,10348,1639,373,115,27,0,0
16180,310M100US16180,"Carson City, NV Metro Area",21467,13558,6410,2978,2594,1065,294,217,7909,6581,1167,149,12,0,0,0
16220,310M100US16220,"Casper, WY Metro Area",29597,19752,9232,4340,4041,1435,456,248,9845,8229,1510,72,12,22,0,0
16300,310M100US16300,"Cedar Rapids, IA Metro Area",103740,66972,31615,14143,13281,5546,1633,754,36768,29692,6056,758,186,52,24,0
16580,310M100US16580,"Champaign-Urbana, IL Metro Area",90044,51609,24094,11575,10329,3707,1262,642,38435,28863,6350,1775,1071,180,45,151
16620,310M100US16620,"Charleston, WV Metro Area",125740,83153,40795,19952,14756,5133,1735,782,42587,37141,4809,415,144,78,0,0
16700,310M100US16700,"Charleston-North Charleston-Summerville, SC Metro Area",245938,160847,71170,40084,31076,12562,4190,1765,85091,68543,12970,2276,988,192,8,114
16740,310M100US16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",648431,435147,182668,105711,91259,37482,12415,5612,213284,174174,32110,4328,1951,533,81,107
16820,310M100US16820,"Charlottesville, VA Metro Area",77120,47466,22987,10879,8512,3587,861,640,29654,22759,4706,1177,721,221,0,70
16860,310M100US16860,"Chattanooga, TN-GA Metro Area",206602,139286,65951,31298,26978,9716,3533,1810,67316,57784,8098,782,530,122,0,0
16940,310M100US16940,"Cheyenne, WY Metro Area",35790,23771,11289,5744,4306,1604,562,266,12019,10157,1628,139,67,15,13,0
16980,310M100US16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",3424098,2285447,854640,520976,499878,256509,96149,57295,1138651,952195,156423,20815,6387,1927,568,336
17020,310M100US17020,"Chico, CA Metro Area",85465,52377,24718,11605,9289,4060,1585,1120,33088,24636,5941,1280,909,223,35,64
17140,310M100US17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",813576,541682,232007,127582,108563,48913,16166,8451,271894,228088,36169,4534,2164,628,233,78
17300,310M100US17300,"Clarksville, TN-KY Metro Area",97792,70712,28729,18643,14354,6329,1824,833,27080,22484,3776,489,272,32,27,0
17420,310M100US17420,"Cleveland, TN Metro Area",43787,30705,14188,7159,5952,2367,581,458,13082,10887,1634,430,131,0,0,0
17460,310M100US17460,"Cleveland-Elyria-Mentor, OH Metro Area",846121,535574,240446,123885,103134,45652,14344,8113,310547,270316,35447,3361,1030,261,106,26
17660,310M100US17660,"Coeur d'Alene, ID Metro Area",54560,37898,18630,7800,6893,3132,798,645,16662,13009,2951,491,155,56,0,0
17780,310M100US17780,"College Station-Bryan, TX Metro Area",79087,46743,19453,11282,9453,3712,2056,787,32344,20874,6662,3017,1633,158,0,0
17820,310M100US17820,"Colorado Springs, CO Metro Area",236155,160190,70358,36443,31526,13655,5497,2711,75965,62592,11106,1450,623,185,0,9
17860,310M100US17860,"Columbia, MO Metro Area",67276,38872,17905,9213,7601,2894,811,448,28404,19335,5935,1840,1164,83,47,0
17900,310M100US17900,"Columbia, SC Metro Area",287784,187576,83048,46570,37787,13890,4409,1872,100208,82928,13391,2565,1045,154,95,30
17980,310M100US17980,"Columbus, GA-AL Metro Area",109062,72307,31115,19104,13669,6059,1470,890,36755,32161,3894,431,209,47,0,13
18020,310M100US18020,"Columbus, IN Metro Area",29856,20814,9364,4804,4015,1728,680,223,9042,7172,1557,158,78,71,0,6
18140,310M100US18140,"Columbus, OH Metro Area",700135,449672,189930,106473,94150,38852,13022,7245,250463,198748,43109,5415,1709,904,354,224
18580,310M100US18580,"Corpus Christi, TX Metro Area",153704,106714,42340,26556,20973,9971,4439,2435,46990,38977,6989,783,199,35,0,7
18700,310M100US18700,"Corvallis, OR Metro Area",33471,19022,9752,3915,3598,1180,376,201,14449,9519,3793,613,346,116,51,11
18880,310M100US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",72442,48826,23681,11204,8559,3469,1248,665,23616,18859,3930,725,73,29,0,0
19060,310M100US19060,"Cumberland, MD-WV Metro Area",40085,25444,12910,5909,4394,1591,431,209,14641,12593,1648,208,143,29,20,0
19100,310M100US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2207246,1531456,571860,357646,337389,164269,62516,37776,675790,558489,99045,12043,4725,1010,257,221
19140,310M100US19140,"Dalton, GA Metro Area",48540,35330,13148,8155,7679,3996,1430,922,13210,10516,2147,351,127,69,0,0
19180,310M100US19180,"Danville, IL Metro Area",32236,20659,10278,4344,3769,1461,481,326,11577,9841,1499,136,67,0,34,0
19260,310M100US19260,"Danville, VA Metro Area",46011,30430,15129,7592,4876,2001,531,301,15581,14079,1327,75,82,11,0,7
19340,310M100US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",154067,99444,49018,21316,17411,8126,2229,1344,54623,46086,7190,1040,232,49,26,0
19380,310M100US19380,"Dayton, OH Metro Area",343101,220656,106610,48865,40337,16675,5660,2509,122445,103704,15249,2316,714,340,49,73
