GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
27340,310M100US27340,"Jacksonville, NC Metro Area",56633,41731,32041,9690,1957,7733,14902,12115,2787
27500,310M100US27500,"Janesville, WI Metro Area",62598,42852,32331,10521,3216,7305,19746,16479,3267
27620,310M100US27620,"Jefferson City, MO Metro Area",56530,38551,30456,8095,2059,6036,17979,15115,2864
27740,310M100US27740,"Johnson City, TN Metro Area",80644,52505,40320,12185,3345,8840,28139,23318,4821
27780,310M100US27780,"Johnstown, PA Metro Area",58802,38530,29753,8777,2353,6424,20272,17953,2319
27860,310M100US27860,"Jonesboro, AR Metro Area",45409,30995,22516,8479,1667,6812,14414,11777,2637
27900,310M100US27900,"Joplin, MO Metro Area",66123,45283,34525,10758,2992,7766,20840,16966,3874
28020,310M100US28020,"Kalamazoo-Portage, MI Metro Area",128552,80425,60711,19714,5384,14330,48127,37429,10698
28100,310M100US28100,"Kankakee-Bradley, IL Metro Area",40943,28243,20097,8146,2114,6032,12700,10493,2207
28140,310M100US28140,"Kansas City, MO-KS Metro Area",789432,523744,396288,127456,33521,93935,265688,222289,43399
28420,310M100US28420,"Kennewick-Pasco-Richland, WA Metro Area",83460,60076,46332,13744,4352,9392,23384,19475,3909
28660,310M100US28660,"Killeen-Temple-Fort Hood, TX Metro Area",129226,94204,68367,25837,5437,20400,35022,29503,5519
28700,310M100US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",130522,89608,68997,20611,5475,15136,40914,35945,4969
28740,310M100US28740,"Kingston, NY Metro Area",70691,45201,34437,10764,2731,8033,25490,20267,5223
28940,310M100US28940,"Knoxville, TN Metro Area",283776,182293,143111,39182,9645,29537,101483,86664,14819
29020,310M100US29020,"Kokomo, IN Metro Area",40981,28087,21790,6297,1706,4591,12894,11097,1797
29100,310M100US29100,"La Crosse, WI-MN Metro Area",53271,32865,26613,6252,2116,4136,20406,15727,4679
29140,310M100US29140,"Lafayette, IN Metro Area",75684,45163,35085,10078,2840,7238,30521,21403,9118
29180,310M100US29180,"Lafayette, LA Metro Area",102741,66976,46757,20219,4494,15725,35765,29200,6565
29340,310M100US29340,"Lake Charles, LA Metro Area",74264,51483,37263,14220,3403,10817,22781,19223,3558
29420,310M100US29420,"Lake Havasu City-Kingman, AZ Metro Area",80361,53407,41808,11599,3782,7817,26954,21399,5555
29460,310M100US29460,"Lakeland-Winter Haven, FL Metro Area",223689,157222,118654,38568,9945,28623,66467,53924,12543
29540,310M100US29540,"Lancaster, PA Metro Area",191474,135716,111290,24426,6928,17498,55758,45453,10305
29620,310M100US29620,"Lansing-East Lansing, MI Metro Area",180402,112894,86404,26490,6783,19707,67508,52868,14640
