GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
16620,310M200US16620,"Charleston, WV Metro Area",95257,60078,43055,17023,4480,12543,35179,29928,5251
16700,310M200US16700,"Charleston-North Charleston, SC Metro Area",268904,173525,123634,49891,11978,37913,95379,76042,19337
16740,310M200US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",871519,588954,429472,159482,39475,120007,282565,231691,50874
16820,310M200US16820,"Charlottesville, VA Metro Area",85549,52906,41745,11161,2532,8629,32643,24957,7686
16860,310M200US16860,"Chattanooga, TN-GA Metro Area",209412,141337,103798,37539,9719,27820,68075,57584,10491
16940,310M200US16940,"Cheyenne, WY Metro Area",37294,24950,19303,5647,1662,3985,12344,9991,2353
16980,310M200US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3448499,2274045,1648656,625389,163855,461534,1174454,974649,199805
17020,310M200US17020,"Chico, CA Metro Area",85318,50963,36475,14488,4591,9897,34355,24602,9753
17140,310M200US17140,"Cincinnati, OH-KY-IN Metro Area",822679,539212,397697,141515,36137,105378,283467,233794,49673
17300,310M200US17300,"Clarksville, TN-KY Metro Area",97769,70077,51877,18200,4502,13698,27692,22539,5153
17420,310M200US17420,"Cleveland, TN Metro Area",45211,31204,23548,7656,2488,5168,14007,12082,1925
17460,310M200US17460,"Cleveland-Elyria, OH Metro Area",847608,521209,364082,157127,37114,120013,326399,281317,45082
17660,310M200US17660,"Coeur d'Alene, ID Metro Area",56421,38705,30550,8155,2351,5804,17716,13957,3759
17780,310M200US17780,"College Station-Bryan, TX Metro Area",86324,49315,35582,13733,3728,10005,37009,23943,13066
17820,310M200US17820,"Colorado Springs, CO Metro Area",254868,174943,135928,39015,10624,28391,79925,64854,15071
17860,310M200US17860,"Columbia, MO Metro Area",66980,38235,29680,8555,2166,6389,28745,19783,8962
17900,310M200US17900,"Columbia, SC Metro Area",297977,192940,133855,59085,12355,46730,105037,86568,18469
17980,310M200US17980,"Columbus, GA-AL Metro Area",112225,73734,47789,25945,5571,20374,38491,33230,5261
18020,310M200US18020,"Columbus, IN Metro Area",30518,20612,15804,4808,1682,3126,9906,8315,1591
18140,310M200US18140,"Columbus, OH Metro Area",756520,480828,352036,128792,32962,95830,275692,219370,56322
18580,310M200US18580,"Corpus Christi, TX Metro Area",159363,110737,74544,36193,10510,25683,48626,38705,9921
18700,310M200US18700,"Corvallis, OR Metro Area",33840,18837,15618,3219,825,2394,15003,9748,5255
18880,310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",98374,64717,49145,15572,4099,11473,33657,28116,5541
19060,310M200US19060,"Cumberland, MD-WV Metro Area",39589,23667,17846,5821,1498,4323,15922,13802,2120
19100,310M200US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2407330,1671492,1218106,453386,122617,330769,735838,602254,133584
19140,310M200US19140,"Dalton, GA Metro Area",48811,35878,26754,9124,2798,6326,12933,10659,2274
19180,310M200US19180,"Danville, IL Metro Area",31531,20188,13897,6291,1800,4491,11343,9760,1583
