Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
2,WhiteNH,Male,Age_45_54,some_coll_,0,13.2715,195.2871664,2.119389267,63.13579054,0.900605187,107.8682519,0.751946836,1
3,WhiteNH,Male,Age_45_54,some_coll_,0,50.2017,198.251154,1.072666334,62.70409046,0.670613559,131.4874096,0.500974649,0
4,WhiteNH,Male,Age_45_54,some_coll_,0,24.9815,262.0043446,1.937149925,65.79710447,1.244852781,108.2885846,0.619920855,0
5,WhiteNH,Male,Age_45_54,some_coll_,0,112.129,186.1264848,1.505981713,40.36044799,0.384626179,109.1729316,0.356237452,0
6,WhiteNH,Male,Age_45_54,some_coll_,0,12.8782,196.0393958,1.756019959,64.68581251,1.095447131,133.6537619,0.789972339,1
7,WhiteNH,Male,Age_45_54,some_coll_,0,0.690122,264.1770523,3.64723956,63.84495022,1.875199531,108.1158386,0.90781872,1
8,WhiteNH,Male,Age_45_54,some_coll_,0,0.07457,188.9106258,2.210730221,38.98666313,0.457282378,108.2030552,0.694054602,1
9,WhiteNH,Male,Age_45_54,some_coll_,0,131.391,191.5042146,1.174823257,39.70733891,0.368972714,130.7833248,0.386883273,0
10,WhiteNH,Male,Age_45_54,some_coll_,0,25.5087,265.6320802,2.731954202,39.61644285,0.780814,109.2338924,0.820442789,0
11,WhiteNH,Male,Age_45_54,some_coll_,0,25.9269,268.7165884,2.127247935,68.20717383,1.241415736,132.8434435,0.738456078,0
12,WhiteNH,Male,Age_45_54,some_coll_,0,6.40889,269.6999676,3.621043963,67.66414604,2.061815976,139.6427138,2.364504637,1
13,WhiteNH,Male,Age_45_54,some_coll_,0,42.4552,191.3681306,2.275956761,38.35664613,0.496895136,132.2382399,0.762763937,1
14,WhiteNH,Male,Age_45_54,some_coll_,0,5.02745,274.842251,3.141814836,39.07603665,0.916296237,109.6184077,0.902323843,1
15,WhiteNH,Male,Age_45_54,some_coll_,0,20.9625,273.8687516,3.858682486,39.41961824,0.509146149,133.9281378,1.146604088,0
16,WhiteNH,Male,Age_45_54,some_coll_,0,9.02817,274.2434626,3.605224775,38.47069429,0.994768683,133.6051929,2.870939416,1
17,WhiteNH,Male,Age_45_54,some_coll_,1,22.7582,189.3902157,1.409116889,61.24522072,0.543657899,109.0083391,0.521357059,0
18,WhiteNH,Male,Age_45_54,some_coll_,1,0.499136,191.491263,2.222960438,61.31978721,0.853199764,109.5056335,0.818331235,1
19,WhiteNH,Male,Age_45_54,some_coll_,1,30.2463,194.4552506,1.302761839,60.88808713,0.684448567,133.1247913,0.545501994,0
20,WhiteNH,Male,Age_45_54,some_coll_,1,0.00353691,258.2084412,2.148062179,63.98110114,1.340608752,109.9259662,0.71029908,0
21,WhiteNH,Male,Age_45_54,some_coll_,1,28.0399,182.3305814,1.544523203,38.54444466,0.396261322,110.8103132,0.471007013,0
22,WhiteNH,Male,Age_45_54,some_coll_,1,0.000788338,192.2434924,1.898447861,62.86980918,1.078571251,135.2911436,0.693451791,1
23,WhiteNH,Male,Age_45_54,some_coll_,1,0,260.3811489,3.78882107,62.02894689,1.8808134,109.7532202,0.946754498,1
24,WhiteNH,Male,Age_45_54,some_coll_,1,3.22E-08,185.1147224,2.330273119,37.1706598,0.50887385,109.8404369,0.821353152,1
25,WhiteNH,Male,Age_45_54,some_coll_,1,51.7677,187.7083112,1.303538145,37.89133558,0.396705186,132.4207065,0.492379023,0
26,WhiteNH,Male,Age_45_54,some_coll_,1,0.0097642,261.8361768,2.87210419,37.80043952,0.826886114,110.8712741,0.872675109,0
27,WhiteNH,Male,Age_45_54,some_coll_,1,14.6831,264.9206849,2.45640115,66.3911705,1.19193985,134.4808252,0.749220312,0
28,WhiteNH,Male,Age_45_54,some_coll_,1,0.00863645,265.9040642,3.824349498,65.84814271,2.072657971,141.2800955,2.422686777,1
29,WhiteNH,Male,Age_45_54,some_coll_,1,0.317878,187.5722272,2.404626252,36.5406428,0.533035845,133.8756215,0.805647855,1
30,WhiteNH,Male,Age_45_54,some_coll_,1,0.707908,271.0463476,3.085138064,37.26003332,0.985096651,111.2557894,0.949902032,1
