Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Male,HS_or_less,Age_45_54,2,107.2075361,110.169655
WhiteNH,Male,HS_or_less,Age_45_54,3,132.1467576,134.5208674
WhiteNH,Male,HS_or_less,Age_45_54,4,107.7112244,110.2230746
WhiteNH,Male,HS_or_less,Age_45_54,5,108.8241936,110.5183051
WhiteNH,Male,HS_or_less,Age_45_54,6,133.7434907,137.0777933
WhiteNH,Male,HS_or_less,Age_45_54,7,106.2381372,110.2706895
WhiteNH,Male,HS_or_less,Age_45_54,8,107.6618861,110.3851363
WhiteNH,Male,HS_or_less,Age_45_54,9,131.9463775,133.9309195
WhiteNH,Male,HS_or_less,Age_45_54,10,108.275448,112.146646
WhiteNH,Male,HS_or_less,Age_45_54,11,132.9635533,136.2336947
WhiteNH,Male,HS_or_less,Age_45_54,12,135.8588636,146.3547755
WhiteNH,Male,HS_or_less,Age_45_54,13,132.0595959,135.3551297
WhiteNH,Male,HS_or_less,Age_45_54,14,107.4671903,111.4543978
WhiteNH,Male,HS_or_less,Age_45_54,15,133.9151388,138.7061447
WhiteNH,Male,HS_or_less,Age_45_54,16,131.854396,144.9064352
WhiteNH,Male,some_coll_,Age_45_54,1,106.1556988,107.8550905
WhiteNH,Male,some_coll_,Age_45_54,2,105.9657609,109.1739718
WhiteNH,Male,some_coll_,Age_45_54,3,131.1340239,133.2961427
WhiteNH,Male,some_coll_,Age_45_54,4,106.4829059,109.2139347
WhiteNH,Male,some_coll_,Age_45_54,5,107.8627855,109.2422548
WhiteNH,Male,some_coll_,Age_45_54,6,132.8112242,135.7726014
WhiteNH,Male,some_coll_,Age_45_54,7,105.0184783,109.25289
WhiteNH,Male,some_coll_,Age_45_54,8,106.4216137,109.3879503
WhiteNH,Male,some_coll_,Age_45_54,9,130.9199761,132.7198625
WhiteNH,Male,some_coll_,Age_45_54,10,107.1933908,110.9912448
WhiteNH,Male,some_coll_,Age_45_54,11,131.8697347,135.0900549
WhiteNH,Male,some_coll_,Age_45_54,12,134.7123713,145.2638094
WhiteNH,Male,some_coll_,Age_45_54,13,130.942936,134.2343311
WhiteNH,Male,some_coll_,Age_45_54,14,106.2916427,110.3924869
WhiteNH,Male,some_coll_,Age_45_54,15,132.6446846,137.7391405
WhiteNH,Male,some_coll_,Age_45_54,16,130.6982618,143.825111
WhiteNH,Male,HS_or_less,Age_55_64,1,109.2475665,110.9582958
WhiteNH,Male,HS_or_less,Age_55_64,2,109.177501,112.1573046
WhiteNH,Male,HS_or_less,Age_55_64,3,134.154963,136.4702765
WhiteNH,Male,HS_or_less,Age_55_64,4,109.8559238,112.0359898
WhiteNH,Male,HS_or_less,Age_55_64,5,110.7330918,112.5670214
WhiteNH,Male,HS_or_less,Age_55_64,6,135.5474028,139.2314958
WhiteNH,Male,HS_or_less,Age_55_64,7,108.3000074,112.1664339
WhiteNH,Male,HS_or_less,Age_55_64,8,109.7592698,112.2453671
WhiteNH,Male,HS_or_less,Age_55_64,9,133.9220591,135.9128524
WhiteNH,Male,HS_or_less,Age_55_64,10,110.4279538,113.9517548
WhiteNH,Male,HS_or_less,Age_55_64,11,134.982803,138.1720595
WhiteNH,Male,HS_or_less,Age_55_64,12,137.7733186,148.397935
WhiteNH,Male,HS_or_less,Age_55_64,13,134.03536,137.3369801
WhiteNH,Male,HS_or_less,Age_55_64,14,109.5350145,113.3441881
WhiteNH,Male,HS_or_less,Age_55_64,15,135.8048576,140.7740404
WhiteNH,Male,HS_or_less,Age_55_64,16,133.7236863,146.9947595
WhiteNH,Male,some_coll_,Age_55_64,1,108.2378467,109.7305571
WhiteNH,Male,some_coll_,Age_55_64,2,107.9457289,111.1516183
WhiteNH,Male,some_coll_,Age_55_64,3,133.1595953,135.2281858
WhiteNH,Male,some_coll_,Age_55_64,4,108.6249543,111.0295009
WhiteNH,Male,some_coll_,Age_55_64,5,109.7769652,111.2856896
WhiteNH,Male,some_coll_,Age_55_64,6,134.6045304,137.9369097
WhiteNH,Male,some_coll_,Age_55_64,7,107.083602,111.1453809
