Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
4,WhiteNH,Male,Age_75_,some_coll_,3.69868,248.4358732,2.319422545,67.28409254,1.609967802,116.000931,0.914242928,0
5,WhiteNH,Male,Age_75_,some_coll_,34.5505,164.3029528,1.369909677,40.55205325,0.532931775,116.7050308,0.629813867,0
6,WhiteNH,Male,Age_75_,some_coll_,3.12124,179.3104338,2.254071466,65.90574522,1.061031054,142.4444235,0.892452228,1
7,WhiteNH,Male,Age_75_,some_coll_,0,247.4592616,3.542751484,66.29943225,2.036087938,115.2881948,1.12388235,1
8,WhiteNH,Male,Age_75_,some_coll_,0.549581,169.3375243,2.640319413,38.82874328,0.517098326,116.0572927,0.967251617,1
9,WhiteNH,Male,Age_75_,some_coll_,86.4673,171.286717,1.241064082,39.74348403,0.450806059,139.97243,0.671571982,0
10,WhiteNH,Male,Age_75_,some_coll_,0.000551758,250.1944556,2.956269254,40.0029153,0.846251809,117.2448285,1.061219445,0
11,WhiteNH,Male,Age_75_,some_coll_,15.3686,256.507447,2.14746102,69.58459558,1.252147663,141.6324055,1.033536318,0
12,WhiteNH,Male,Age_75_,some_coll_,0.000944243,254.1576424,4.417949056,68.5076994,2.298481398,148.140601,2.846601712,1
13,WhiteNH,Male,Age_75_,some_coll_,3.4369,172.3127744,1.899473134,38.60823131,0.540860843,140.7411443,0.88409134,1
14,WhiteNH,Male,Age_75_,some_coll_,0,256.5553995,3.731615222,39.01982434,1.129313552,116.4945755,1.210841566,1
15,WhiteNH,Male,Age_75_,some_coll_,3.94158,259.750993,4.316904232,39.56875756,0.66934429,143.3444232,1.387817176,0
16,WhiteNH,Male,Age_75_,some_coll_,0,262.5772169,4.114699175,39.25412161,1.232858535,145.4141971,3.397670684,1
1,WhiteNH,Female,Age_35_44,HS_or_less,55.6718,192.441072,1.228477667,65.10632973,0.507518339,107.1841152,0.439418081,0
2,WhiteNH,Female,Age_35_44,HS_or_less,33.6461,192.8828545,2.252773698,65.2873287,1.037380202,107.7485869,0.655689052,1
3,WhiteNH,Female,Age_35_44,HS_or_less,20.1533,197.7497764,1.201948332,64.13413662,0.507082174,132.3938039,0.560085353,0
4,WhiteNH,Female,Age_35_44,HS_or_less,4.72781,264.2295416,1.932949481,68.23732717,1.455888035,108.0271409,0.508084732,0
5,WhiteNH,Female,Age_35_44,HS_or_less,19.5957,180.0966213,1.642928485,41.50528788,0.437654236,108.7312407,0.531595786,0
6,WhiteNH,Female,Age_35_44,HS_or_less,20.4754,195.1041022,1.826313185,66.85897985,1.069225908,134.4706334,0.996350136,1
7,WhiteNH,Female,Age_35_44,HS_or_less,5.29548,263.25293,3.302600315,67.25266688,2.039922759,107.3144047,1.078892852,1
8,WhiteNH,Female,Age_35_44,HS_or_less,23.8806,185.1311927,2.221868001,39.78197791,0.478626673,108.0835026,0.586041637,1
9,WhiteNH,Female,Age_35_44,HS_or_less,20.2005,187.0803854,1.351083728,40.69671866,0.401584231,131.9986398,0.531821329,0
10,WhiteNH,Female,Age_35_44,HS_or_less,1.45332,265.988124,2.509409315,40.95614993,0.77781194,109.2710384,0.939514939,0
11,WhiteNH,Female,Age_35_44,HS_or_less,1.12834,272.3011154,2.197512286,70.53783021,1.473281448,133.6586153,0.727370268,0
12,WhiteNH,Female,Age_35_44,HS_or_less,3.96036,269.9513108,4.731718549,69.46093403,2.30541359,140.1668109,2.60667395,1
13,WhiteNH,Female,Age_35_44,HS_or_less,17.7942,188.1064428,1.929857869,39.56146594,0.460387081,132.7673541,0.824122877,1
14,WhiteNH,Female,Age_35_44,HS_or_less,4.40472,272.3490679,3.63015848,39.97305897,1.163940002,108.5207854,1.048891257,1
15,WhiteNH,Female,Age_35_44,HS_or_less,1.2341,275.5446614,3.732754143,40.52199219,0.632839529,135.3706331,1.293050513,0
16,WhiteNH,Female,Age_35_44,HS_or_less,1.09167,278.3708853,4.017538946,40.20735624,1.040961309,137.4404069,3.263598928,1
1,WhiteNH,Female,Age_35_44,some_coll_,293.328,192.7389294,1.245973988,66.90265067,0.510435208,106.065386,0.302072693,0
2,WhiteNH,Female,Age_35_44,some_coll_,49.3539,193.1807119,2.241365282,67.08364964,1.025232486,106.6298577,0.677762737,1
3,WhiteNH,Female,Age_35_44,some_coll_,91.9409,198.0476338,1.157434089,65.93045756,0.515732598,131.2750747,0.43343453,0
4,WhiteNH,Female,Age_35_44,some_coll_,48.2722,264.527399,2.062068355,70.03364811,1.503621013,106.9084117,0.514258767,0
5,WhiteNH,Female,Age_35_44,some_coll_,97.4043,180.3944786,1.644008325,43.30160882,0.388896678,107.6125115,0.39550411,0
6,WhiteNH,Female,Age_35_44,some_coll_,16.5246,195.4019596,1.853488063,68.65530079,1.100389597,133.3519041,0.883234584,1
7,WhiteNH,Female,Age_35_44,some_coll_,10.7045,263.5507874,3.203795755,69.04898782,2.051142467,106.1956755,1.096746598,1
8,WhiteNH,Female,Age_35_44,some_coll_,31.1194,185.4290501,2.275598102,41.57829885,0.476594183,106.9647733,0.60365718,1
9,WhiteNH,Female,Age_35_44,some_coll_,52.7995,187.3782428,1.297568743,42.4930396,0.377073693,130.8799106,0.41648242,0
10,WhiteNH,Female,Age_35_44,some_coll_,3.54668,266.2859814,2.637854962,42.75247087,0.770934245,108.1523092,0.884221231,0
11,WhiteNH,Female,Age_35_44,some_coll_,24.8717,272.5989728,2.201220291,72.33415114,1.448823257,132.5398861,0.665729669,0
12,WhiteNH,Female,Age_35_44,some_coll_,8.03964,270.2491682,4.758221153,71.25725497,2.323271711,139.0480817,2.608119082,1
13,WhiteNH,Female,Age_35_44,some_coll_,14.415,188.4043002,1.83625801,41.35778688,0.472152549,131.6486249,0.782204612,1
14,WhiteNH,Female,Age_35_44,some_coll_,2.59528,272.6469253,3.63980243,41.76937991,1.152583077,107.4020562,1.045028367,1
15,WhiteNH,Female,Age_35_44,some_coll_,1.7659,275.8425188,4.028703053,42.31831313,0.627977128,134.2519039,1.339457851,0
16,WhiteNH,Female,Age_35_44,some_coll_,0.90833,278.6687427,4.090836062,42.00367718,1.108607633,136.3216777,3.272316648,1
1,WhiteNH,Female,Age_45_54,HS_or_less,45.6996,196.1977505,1.188125358,65.82959415,0.578601542,107.92681,0.465347668,0
2,WhiteNH,Female,Age_45_54,HS_or_less,30.702,196.639533,2.305636224,66.01059312,1.05658019,108.4912817,0.657034647,1
3,WhiteNH,Female,Age_45_54,HS_or_less,40.803,201.5064549,1.170707526,64.85740104,0.647961601,133.1364987,0.579862597,0
4,WhiteNH,Female,Age_45_54,HS_or_less,18.3628,267.9862201,2.077663787,68.9605916,1.427539416,108.7698357,0.543811593,0
5,WhiteNH,Female,Age_45_54,HS_or_less,22.7413,183.8532998,1.569642194,42.2285523,0.484493087,109.4739355,0.511925665,0
6,WhiteNH,Female,Age_45_54,HS_or_less,35.5086,198.8607807,1.709897068,67.58224427,1.127045949,135.2133282,0.886306833,1
7,WhiteNH,Female,Age_45_54,HS_or_less,10.8145,267.0096085,3.301247915,67.9759313,1.962792302,108.0570995,1.002364138,1
8,WhiteNH,Female,Age_45_54,HS_or_less,18.8277,188.8878712,2.233833149,40.50524233,0.4808755,108.8261974,0.63428083,1
